county,state,season,report_num,latitude,longitude,date,number,classification,temp_hi,temp_lo,id
Tuscaloosa County,Alabama,Spring,Report 35339: Unexplained happenings on a farm outside Tuscaloosa,33.20837,-87.28992,2012,35339,Class B,83.56,69.83,1
Tuscaloosa County,Alabama,Spring,Report 44849: Sightings at night in the same area off Bone Camp Road near Northport,33.37095,-87.6942,2014,44849,Class A,56.09,54.065,1
Walker County,Alabama,Spring,Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas,33.8957,-87.53395,1990,27480,Class A,NA,NA,1
Walker County,Alabama,Fall,Report 1022: Hunters observe creature walking in the woods,33.97575,-87.45876,1990,1022,Class A,NA,NA,1
Walker County,Alabama,Spring,Report 27459: Motorist sights dirty-white upright creature near the town of Kansas,33.8957,-87.53395,2010,27459,Class A,63.26,53.6,1
Washington County,Alabama,Winter,Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale,31.25385,-88.26291,2008,37038,Class A,68.43,58.025,1
Washington County,Alabama,Spring,Report 65679: Afternoon sighting of a bigfoot by motorist on Hwy 17 just north of Deer Park,31.24305,-88.31126,2020,65679,Class A,75.58,61.13,1
Anchorage County,Alaska,Winter,"Report 13038: Snowmobiler has encounter in deep snow near Potter, AK",61.0595,-149.7853,2004,13038,Class A,28.98,18.665,2
Fairbanks County,Alaska,Summer,Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks,64.89139,-147.8142,2009,26604,Class A,63.41,54.37,2
Prince of Wales County,Alaska,Spring,Report 8797: Two boys find footprints on Harris River bank,55.4555,-132.7333,2001,8797,Class B,47.66,45.035,2
Prince of Wales County,Alaska,Winter,Report 7963: Sasquatch walks past window of house at night,55.2035,-132.8202,2004,7963,Class A,44.5,43.49,2
Southeast Fairbanks County,Alaska,Spring,Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road,62.77335,-141.3165,2008,23666,Class A,53.36,41.13,2
Southeast Fairbanks County,Alaska,Fall,Report 25442: Hunter describes powerful wood knocks at a cabin in remote wilderness south of the town of Chicken,63.98869,-142.7691,2008,25442,Class B,59.16,45.17,2
Providence County,Rhode Island,Spring,Report 30906: Early morning sighting by a motorist along Route 6 near Foster,41.81391,-71.74425,2011,30906,Class B,65.18,58.095,44
Adams County,Pennsylvania,Summer,"Report 12951: Possible encounter between a juvenile and a human child, near Gettysburg",39.76366,-77.27178,1961,12951,Class A,NA,NA,42
St. Clair County,Alabama,Fall,Report 8679: Adult recalls childhood sighting at dusk near Moody,33.6205,-86.4664,2004,8679,Class A,78.01,66.605,1
Shelby County,Alabama,Winter,Report 8171: Nighttime Sighting on County Road,33.3674,-86.64066,2004,8171,Class A,89.48,78.525,1
Russell County,Alabama,Fall,"Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving",32.31435,-85.16235,1981,179,Class A,87.57,78.455,1
Pike County,Alabama,Spring,Report 15473: Possible stalking on mountain outside Troy,31.85,-85.925,2007,15473,Class B,91.03,82.01,1
Pickens County,Alabama,Fall,"Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described",33.13195,-88.17885,1980,832,Class A,NA,NA,1
Morgan County,Alabama,Summer,Report 3028: Daylight sighting by lady while her husband was clearing trees,34.4881,-86.6333,2000,3028,Class A,87.05,74.185,1
Mobile County,Alabama,Summer,Report 17168: Nighttime sighting by motorists outside Grand Bay,30.47612,-88.34223,2007,17168,Class B,55.35,47.035,1
Marshall County,Alabama,Summer,Report 18043: Evening sighting by family driving by Guntersville Lake,34.27607,-86.17524,1992,18043,Class A,75.42,65.885,1
Madison County,Alabama,Winter,Report 416: A resident's early evening sighting next to his home near New Market,34.95605,-86.4559,1983,416,Class A,55.21,48.27,1
Macon County,Alabama,Winter,Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest,32.43,-85.705,2007,17455,Class A,80.11,64.77,1
Lowndes County,Alabama,Spring,Report 24646: Early morning sighting by a fisherman south of Montgomery,32.184,-86.581,2001,24646,Class A,83.33,71.44,1
Limestone County,Alabama,Spring,"Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water",34.92855,-87.1105,1978,799,Class A,76.72,59.2,1
Lee County,Alabama,Spring,Report 18033: Possible stalking of couple parked at power line cut outside Opelika,32.6825,-85.2222,2002,18033,Class B,83.62,72.515,1
Lauderdale County,Alabama,Spring,Report 28326: Recollection of seeing a hair covered creature squatting next to a road near Waterloo,34.8986,-87.95277,2008,28326,Class B,62.55,47.925,1
Lamar County,Alabama,Summer,Report 35475: Daylight road crossing near Vernon,33.41574,-88.12475,2012,35475,Class A,81.25,70.72,1
Jefferson County,Alabama,Fall,Report 10498: Hiker has daylight sighting near Warrior.,33.8132,-86.7891,1979,10498,Class A,77.66,68.66,1
Jefferson County,Alabama,Spring,Report 43689: Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham,33.55153,-86.98473,2013,43689,Class A,82.92,73.745,1
Lee County,Alabama,Winter,Report 7427: Four youths have harrowing experience in Alabama backwoods.,32.6218,-85.4258,2003,7427,Class A,64.6,57.605,1
Lee County,Alabama,Winter,Report 18376: Couple reports possible stalking near abandoned rural graveyard outside town of Valley,32.67715,-85.21545,2007,18376,Class B,52.26,39.03,1
Limestone County,Alabama,Summer,Report 451: Young man has sighting near home,34.9263,-87.02025,1993,451,Class A,92.63,81.64,1
Limestone County,Alabama,Fall,Report 3296: Man on his way to work  sees sasquatch crossing road in his headlights,34.6802,-87.00665,2001,3296,Class A,73.38,59.66,1
Limestone County,Alabama,Summer,Report 15597: Possible vocalizations reported near Tanner,34.73139,-86.97057,2006,15597,Class B,81.05,78.065,1
Madison County,Alabama,Summer,Report 7235: Recollection of an afternoon sighting on Green Mountain,34.7325,-86.52105,2004,7235,Class A,75.96,69.615,1
Madison County,Alabama,Winter,Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville,34.71139,-86.6575,2009,25559,Class A,52.54,47.815,1
Morgan County,Alabama,Fall,Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs,34.5422,-86.66465,2000,435,Class A,66.51,48.85,1
Morgan County,Alabama,Fall,Report 25111: Ohio howl type vocalizations for several hours in early morning near Lacey's Spring,34.55946,-86.59747,2008,25111,Class B,61.48,54.29,1
Morgan County,Alabama,Summer,Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove,34.32279,-86.5045,2012,39383,Class A,83.54,75.03,1
Morgan County,Alabama,Winter,Report 40417: Nighttime encounters close to home near Morgan,34.47091,-86.56954,2013,40417,Class A,73.86,63.265,1
Pickens County,Alabama,Summer,Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville,33.13,-88.14999,2007,5954,Class A,87,80.435,1
St. Clair County,Alabama,Winter,Report 10501: Hikers find footprints near Pell City.,33.6332,-86.2952,2005,10501,Class B,63.47,52.17,1
St. Clair County,Alabama,Summer,Report 22539: Roadside Sighting near Moody,33.59,-86.5,2007,22539,Class A,86.5,78.9,1
Jackson County,Alabama,Winter,Report 38022: Large black figure seen on a ridgeline near Hytop,34.56327,-85.79889,2012,38022,Class B,65.89,55.555,1
Henry County,Alabama,Summer,Report 46746: Nighttime sighting by a motorist west of Newville,31.23374,-85.21574,2014,46746,Class A,89.7,78.525,1
Franklin County,Alabama,Winter,Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border,31.00002,-86.99782,2006,15102,Class A,84.82,77.8,1
Etowa County,Alabama,Fall,Report 37094: Multiple sightings close to Lookout Mountain near Gadsden,33.82162,-85.48985,2012,37094,Class A,63.35,51.26,1
Escambia County,Alabama,Fall,Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton,31.13586,-87.06486,1983,33307,Class A,65.1,61.145,1
Dale County,Alabama,Spring,Report 22899: Possible daylight encounter on Fort Rucker Army Base,31.35,-85.7075,2008,22899,Class B,42.11,34.35,1
Cullman County,Alabama,Winter,Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line,34.29511,-86.88621,2013,40912,Class A,54.67,46.995,1
Covington County,Alabama,Fall,Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia,31.34781,-86.54527,1978,35293,Class A,NA,NA,1
Colbert County,Alabama,Fall,Report 577: Man has repeated visits at family farm,34.80405,-87.50905,1999,577,Class A,61.84,48.795,1
Coffee County,Alabama,Winter,Report 47975: Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton,31.53475,-85.7944,2013,47975,Class A,74.03,66.835,1
Cleburne County,Alabama,Fall,Report 273: Husband and wife hear scream while fishing,33.7065,-85.57415,1994,273,Class B,86.65,76.65,1
Clay County,Alabama,Winter,Report 22969: Camper Awakened by Loud Wood Knocks in Talladega National Forrest,33.46345,-85.87055,2008,22969,Class B,34.42,25.28,1
Clarke County,Alabama,Winter,"Report 1907: Motorist sees Bigfoot like creature, hears scream",31.58255,-87.96095,1996,1907,Class A,NA,NA,1
Cherokee County,Alabama,Summer,Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff,34.14117,-85.22781,2014,45464,Class A,90.11,80.33,1
Chilton County,Alabama,Spring,Report 26886: Daylight sighting while riding ATV on his private property outside Verbena,32.76967,-86.4891,2000,26886,Class A,91.94,NA,1
Chilton County,Alabama,Fall,Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton,32.48322,-86.37698,2013,42939,Class A,75.3,67.1,1
Clarke County,Alabama,Fall,Report 43402: Possible ongoing activty in a rural community near Chance,31.809,-87.56807,2002,43402,Class B,91.61,81.6,1
Clarke County,Alabama,Fall,Report 24451: Two friends have a possible nighttime sighting on a rural road outside Madison,31.20325,-87.5047,2008,24451,Class B,85.3,79.645,1
Clay County,Alabama,Fall,Report 42692: Daytime road crossing seen near Ashland,33.12572,-85.49103,2013,42692,Class B,69.82,54.11,1
Cleburne County,Alabama,Summer,Report 67423: Sighting of a Sasquatch crossing forest road off I-20 near AL/GA state border.,33.64341,-85.41961,2020,67423,Class A,80.82,69.03,1
Colbert County,Alabama,Winter,Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals,34.70112,-87.77686,2005,27568,Class A,68.22,64.325,1
Conecuh County,Alabama,Winter,Report 4743: Nighttime sighting by two teens in southern Conecuh County,31.16,-87.09069,2000,4743,Class A,71.83,62.885,1
Covington County,Alabama,Spring,Report 8635: Possible repeat approaches to a rural residence at night outside OPP,31.29,-86.255,2007,8635,Class B,91.54,82.515,1
Cullman County,Alabama,Summer,Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen,34.00806,-86.96416,2014,45296,Class A,82.9,74.54,1
Dale County,Alabama,Spring,Report 34224: Possible late night encounter outside a home near Pinckard,31.30503,-85.61766,2011,34224,Class B,74.75,63.93,1
Dallas County,Alabama,Summer,Report 14082: Daylight road crossing sighting near Orrville,32.30673,-87.24547,2006,14082,Class A,89.81,78.92,1
Etowa County,Alabama,Winter,Report 39620: Motorist has two possible sightings on the Appalachian Hwy. near Gadsden,34.04129,-85.86473,2013,39620,Class B,54.08,50.935,1
Henry County,Alabama,Summer,"Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville",31.651,-85.19265,2014,44986,Class A,49.07,41.845,1
Jackson County,Alabama,Summer,Report 44479: Possible encounter while fishing Lake Guntersville at night,34.24174,-85.08995,2013,44479,Class B,84.71,75.515,1
Blount County,Alabama,Summer,Report 1830: Two separate sighting reports of a creature,34.1288,-86.68,1975,1830,Class C,89.82,85.3,1
Bibb County,Alabama,Summer,Report 21714: Rescue workers describes possible stalking on the Cahaba River outside Montevallo,33.1,-86.86,2007,21714,Class B,84.01,76.27,1
Barbour County,Alabama,Winter,Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton,31.86801,-85.35995,1980,27067,Class A,NA,NA,1
Baldwin County,Alabama,Summer,Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile,30.7113,-87.91833,1979,26513,Class A,85.61,75.61,1
Autauga County,Alabama,Unknown,Report 1783: Night hunters hear strange screams in the woods,32.4456,-86.5653,1985,1783,Class B,88.74,80.52,1
Baldwin County,Alabama,Fall,Report 71896: LAST SUNDAY: Possible road crossing sighting of a sasquatch 5 miles NE of Gulf Shores,30.31786,-87.64934,2021,71896,Class B,72.68,67.09,1
Blount County,Alabama,Fall,Report 8921: Possible daylight sighting near freeway outside Birmingham,33.00014,-86.00004,2006,8921,Class B,81.14,68.33,1
Blount County,Alabama,Summer,Report 50178: Recollection of a roadside sighting of a white Bigfoot near Blount Springs,33.89833,-86.84557,2014,50178,Class A,58.16,48.01,1
Wyoming County,West Virginia,Winter,Report 13237: Daylight sighting near an abandonned mining chamber near Amigo,37.58135,-81.29745,2005,13237,Class A,35.86,35.075,54
Windsor County,Vermont,Fall,"Report 13285: Evening sighting by motorists on Tyson Road, off Route 100, outside Ludlow",43.4654,-72.7051,2005,13285,Class A,58.23,51.335,50
Wythe County,Virginia,Spring,"Report 2285: Boy sees ""Bigfoot"" in the woods while looking out the car window",37.22647,-81.09017,1984,2285,Class A,59.76,50.76,51
Wood County,Texas,Winter,Report 2048: Night time road crossing observation,32.7943,-95.5425,1996,2048,Class A,NA,NA,48
Shannon County,South Dakota,Fall,Report 5173: Large bipedal animal frequently observed by a South Dakota family,43.35851,-102.3971,2002,5173,Class A,16.79,10.74,46
Tishomingo County,Mississippi,Winter,Report 13494: Sundown sighting near Tishomingo State Park,34.60905,-88.19894,2006,13494,Class A,50.99,42.36,28
Wright County,Missouri,Spring,Report 59307: Broken trees and possible print found after swaying animal evades hunters near Grovespring,37.46041,-92.63587,2018,59307,Class B,50.51,40.49,29
Wexford County,Michigan,Fall,Report 26196: Possible intimidation experienced by two bow hunters near Cadillac,44.16985,-85.63835,2000,26196,Class B,76.72,68.845,26
Waldo County,Maine,Fall,Report 51005: Trail camera captures unknown creature on hunting property near Burnham,44.6908,-69.3614,2016,51005,Class B,36.03,33.83,23
York County,Maine,Winter,Report 51991: Possible track way found in the snow hear Hollis,43.6676,-70.6235,2016,51991,Class B,33.72,33.065,23
York County,Maine,Winter,Report 56798: Possible track way found in the snow in Vaughn Woods State Park east of Dover,43.2045,-70.81187,2017,56798,Class B,32.47,26.18,23
Wexford County,Michigan,Fall,Report 45572: Teens shining for deer have a scary encounter near Kingsley,44.50587,-85.51546,2000,45572,Class A,56.92,46.765,26
Wexford County,Michigan,Fall,Report 24695: Disoriented coon hunter is followed out of the woods and experiences possible intimidation near Buckley,44.45835,-85.6667,2008,24695,Class B,75.6,63.505,26
Wright County,Missouri,Fall,Report 66158: Motorist's daylight sighting in farmlands 45 miles northeast of Springfield,37.46392,-92.52242,2020,66158,Class A,68.47,57.64,29
Tishomingo County,Mississippi,Winter,Report 39764: Possible night screams heard near Burnsville,34.735,-88.26655,2013,39764,Class B,40.51,30.32,28
Wilson County,Tennessee,Fall,Report 24799: Hunter hears loud uknown vocalizations near Greenvale,35.9978,-86.2011,2008,24799,Class B,50.53,43.125,47
Wilson County,Tennessee,Summer,Report 28005: Two witnesses recount a close daytime encounter with a very curious creature near Lebanon,36.25466,-86.15759,2010,28005,Class A,94.98,83.86,47
Wood County,Texas,Winter,Report 8376: Hog hunter encounters unknown animal near Sabine River.,32.69028,-95.61056,2004,8376,Class A,79.5,72.75,48
Wood County,Texas,Spring,"Report 14638: Woman describes husband's daytime sighting on ranch near Quitman, TX.",32.85232,-95.46671,2006,14638,Class A,65.88,60.505,48
Weber County,Utah,Spring,Report 9962: Daylight sighting off Highway 89 in the Wasatch Mountains.,41.5,-111.75,1962,9962,Class A,57.78,49.765,49
Weber County,Utah,Fall,Report 21613: Grandson relates grandparents' accounts in the Wasatch-Cache National Forest,41.41125,-111.5833,2007,21613,Class B,77.11,66.98,49
Wythe County,Virginia,Fall,Report 15107: Possible vocalizations heard by a farmer near Max Meadows,37.00085,-80.8797,2003,15107,Class B,51.72,41.02,51
Wythe County,Virginia,Summer,Report 35981: Possible encounter behind a fish hatchery near Fort Chiswell,36.932,-80.89,2011,35981,Class B,85.54,74.055,51
Wythe County,Virginia,Spring,Report 62744: Couple saw a juvenile Bigfoot jumping a fence.,37.0048,-81.11751,2019,62744,Class A,73.98,57.965,51
Windsor County,Vermont,Spring,Report 49902: Possible footprints found by a hiker on Mt. Ascutney,43.43623,-72.43684,2015,49902,Class B,74.69,62.065,50
Skamania County,Washington,Spring,Report 1043: Mother relates story of daughter sighting a large animal near Mill A School,45.75056,-121.6508,1950,1043,Class B,47.28,40.305,53
Skamania County,Washington,Fall,Report 1644: Witness saw something he felt confident few men had ever seen,46.385,-122.1379,1967,1644,Class A,NA,NA,53
Skamania County,Washington,Winter,Report 1621: Fisherman witnesses bigfoot cross the road in front of his car,45.66194,-122.0144,1969,1621,Class A,NA,NA,53
Skamania County,Washington,Winter,Report 1620: Family on vacation find tracks in an isolated area.,46.3341,-121.7913,1969,1620,Class B,NA,NA,53
Skamania County,Washington,Summer,Report 1645: Witness observed creature walking up a hill,46.27583,-122.2083,1971,1645,Class A,NA,NA,53
Skamania County,Washington,Spring,"Report 1652: Multiple witness incident on the western slope of Silver Star Mt., near Pyramid Rock",45.74639,-122.2375,1972,1652,Class A,NA,NA,53
Skamania County,Washington,Spring,"Report 1651: Daylight observation from Beacon Rock, along the Columbia River",45.62778,-122.0194,1978,1651,Class A,62.96,54.755,53
Skamania County,Washington,Spring,Report 1707: Department of Natural Resources tree-planting crew views two animals walking upright near Home Valley,45.69833,-121.7753,1980,1707,Class A,72.14,NA,53
Skamania County,Washington,Summer,Report 40371: Memory told of a daylight sighting at a golf course in North Bonneville,45.63921,-121.9883,1985,40371,Class A,75.82,62.79,53
Skamania County,Washington,Summer,Report 270: Campers awakened by late-night visitor in the Indian Heaven Wilderness,46.04722,-122.1914,1985,270,Class B,NA,NA,53
Skamania County,Washington,Summer,Report 889: Climber has night-time sighting near Mt. Adams wilderness,46.295,-121.5478,1991,889,Class A,NA,NA,53
Skamania County,Washington,Summer,Report 10470: Campers find footprint in Indian Heaven Wilderness,46.0189,-121.7476,1993,10470,Class B,NA,NA,53
Skamania County,Washington,Spring,Report 9863: Hiking couple hears calls and finds footprints near Mt. Adams,46.0803,-121.7512,1997,9863,Class B,NA,NA,53
Skamania County,Washington,Summer,Report 59099: Memory told of hearing a possible vocalization from a tent during noon storm at Goose Lake,45.94002,-121.7582,1997,59099,Class B,NA,NA,53
Skamania County,Washington,Fall,Report 1650: Creature seen by witnesses at the bottom of the hill,46.15194,-122.1572,1997,1650,Class A,NA,NA,53
Skamania County,Washington,Unknown,Report 1647: Witness heard what sounded like sticks being beaten on wood,46.17861,-122.0514,1998,1647,Class B,NA,NA,53
Skamania County,Washington,Summer,Report 1766: Family finds track and scat pile while hiking southeast of Mt. St. Helens,46.10444,-122.015,1998,1766,Class B,NA,NA,53
Skamania County,Washington,Fall,Report 3800: Bowhunters find track and hear vocalizations near Indian Heaven Wilderness,46.1036,-121.7944,1999,3800,Class B,NA,NA,53
Skamania County,Washington,Winter,Report 4779: Large animal lures men away from possible younger animal near Mt. St. Helens,46.3105,-122.028,1999,4779,Class A,NA,NA,53
Skamania County,Washington,Summer,Report 3786: Bow hunters find footprint and hear vocalizations near Indian Heaven Wilderness,46.08515,-121.7064,2000,3786,Class B,NA,NA,53
Skamania County,Washington,Winter,Report 1904: Mountain climbers hear loud scream on Mount St. Helens,46.10861,-122.1283,2001,1904,Class B,NA,NA,53
Skamania County,Washington,Summer,Report 3024: Campers hear vocalizations and find possible prints near Skookum Meadow,46.1333,-121.8,2001,3024,Class B,NA,NA,53
Skamania County,Washington,Summer,"Report 3188: Spelunkers hear loud, garbled howls on consecutive nights near Trout Lake",45.9667,-121.6667,2001,3188,Class B,NA,NA,53
Skamania County,Washington,Summer,"Report 4738: Fishermen encounter upright, slender animal near Lone Butte",45.8083,-121.9063,2002,4738,Class A,74.24,62.955,53
Skamania County,Washington,Fall,Report 5176: Several sets of tracks found near Skookum Meadows,46.0969,-121.9191,2002,5176,Class B,57.87,52.255,53
Skamania County,Washington,Summer,Report 6559: Multiple screams heard,46.21583,-121.9192,2003,6559,Class B,74.62,64.075,53
Skamania County,Washington,Fall,Report 10646: Elk hunter hears loud screams at night near Deadman's Lake,46.3751,-122.1301,2004,10646,Class B,47.32,43.435,53
Skamania County,Washington,Summer,Report 8339: Couple has sighting of something standing on a gravel road,46.3105,-121.9256,2004,8339,Class A,56.12,46.065,53
Skamania County,Washington,Winter,Report 9946: Motorist Has Late Night Sighting Near Eagle Cliff,46.05,-121.95,2004,9946,Class A,39.59,34.675,53
Skamania County,Washington,Summer,Report 7593: Stevenson Ridge vocalization startles father and son,45.723,-121.8864,2005,7593,Class B,41.31,38.36,53
Skamania County,Washington,Summer,Report 13183: Campers hear possible vocalizations at night near Kalama Horse Camp,46.13795,-122.3291,2005,13183,Class B,80.05,68.905,53
Skamania County,Washington,Fall,Report 13115: Daylight sighting by a backpacker on Silver Star Mountain (See Photos),45.74715,-122.2339,2005,13115,Class A,43.21,36.445,53
Skamania County,Washington,Summer,"Report 21473: Man and girlfriend, camping, hear loud footsteps and tree knocking near Cispus, Washington",46.40153,-121.8738,2007,21473,Class B,66.97,57.695,53
Skamania County,Washington,Fall,Report 25194: Father and son hear a wood knock and find large human-like barefoot tracks while hunting near Trout Lake,45.9216,-121.718,2008,25194,Class B,37.62,32.69,53
Skamania County,Washington,Summer,Report 26572: Backpacker hears multiple vocalizations while camping near Trout Lake,45.96578,-121.7576,2009,26572,Class B,65.45,55.865,53
Skamania County,Washington,Fall,Report 28307: Couple hear strange vocalization at their cabin near Carson,45.83632,-121.921,2010,28307,Class B,75.76,66.42,53
Skamania County,Washington,Winter,"Report 65864: Elk hunters have knock answered, hear roar vocalization, have tent slapped, north of Mt. St. Helens.",46.33448,-122.0504,2016,65864,Class B,49.64,46.035,53
Skamania County,Washington,Summer,"Report 63324: Campers describe sounds, rock throwing and brief sighting at dark near Wind River Work Center outside Carson",45.80191,-121.9223,2019,63324,Class B,79.81,66.92,53
Skamania County,Washington,Winter,"Report 65295: Road crossing sighting 3mi north of Columbia Gorge, south of Willard",45.75957,-121.6267,2020,65295,Class A,45.68,40.81,53
Skamania County,Washington,Spring,Report 65464: Vocalizations near the summit of Silver Star Mountain,45.74796,-122.2389,2020,65464,Class B,52.54,48.525,53
Skamania County,Washington,Fall,Report 67407: Possible wood knocks heard near Marble mountain Sno-Park,46.13657,-122.1692,2020,67407,Class B,43.21,38.895,53
Wood County,Wisconsin,Winter,Report 34240: Passenger sees a large figure moving between buildings in Biron,44.42315,-89.7793,2012,34240,Class B,33.01,21.575,55
Wood County,Wisconsin,Winter,Report 38662: Hikers make a vocalization and hear possible return vocalizations outside Biron,44.4308,-89.7715,2012,38662,Class B,32.62,30.18,55
Montgomery County,Maryland,Summer,Report 10778: Vocals and thrown objects experienced by two friends exploring,39.21564,-77.4608,1994,10778,Class B,78.91,71.415,24
Dorchester County,Maryland,Spring,Report 25137: Memory told of a possible late night sighting while driving near Hurlock,38.63295,-75.80465,1999,25137,Class B,62.72,54.635,24
Piscataquis County,Maine,Fall,Report 8259: Hunters find scat and have large rock thrown at them,46.1333,-68.8405,1970,8259,Class B,NA,NA,23
Hancock County,Maine,Fall,"Report 67335: Knocks heard near Spectacle Pond, 27 miles east of Bangor",44.78159,-68.2283,2020,67335,Class B,58.66,45.71,23
Oxford County,Maine,Summer,Report 55290: Possible footprint found by a family looking for moose antlers near Wilson Mills,45.04705,-70.99485,2016,55290,Class B,75.34,65.395,23
Oxford County,Maine,Fall,Report 66109: Multi-witness daylight sighting along powerlines south of Bryant Pond,44.34113,-70.61507,2020,66109,Class A,77.86,67.355,23
Penobscot County,Maine,Fall,Report 66224: Distinct wood knocks heard 18 miles NNE of Bangor,45.04943,-68.63222,2020,66224,Class B,61.23,52.425,23
Anne Arundel County,Maryland,Summer,Report 10687: Child sees large figure looking at him in window at night,39.01142,-76.53862,1972,10687,Class B,79.03,67.375,24
Anne Arundel County,Maryland,Fall,"Report 12601: Bow hunter hears vocalizations, smells foul odor",38.81639,-76.54514,2005,12601,Class B,83.83,79.78,24
Anne Arundel County,Maryland,Spring,Report 24952: Bird watcher experiences unusual activity while hiking in the Oxbow Lake Nature Preserve,39.11378,-76.811,2008,24952,Class B,66.18,59.6,24
Anne Arundel County,Maryland,Summer,Report 27702: Man recalls seeing a tall dark creature behind his house at dusk near Laurel,39.08414,-76.82731,2010,27702,Class A,77.02,74.605,24
Baltimore County,Maryland,Spring,Report 30634: Night hikers possibly stalked near Bee Tree Preserve,39.6946,-76.6691,2011,30634,Class B,60.29,59.71,24
Harford County,Maryland,Fall,Report 31814: Memories told of several incidents including an observation through a rifle scope while target practicing outside Street,39.67183,-76.34047,1993,31814,Class A,87.81,NA,24
Montgomery County,Maryland,Winter,Report 46620: Possible nighttime sighting through a living room window near Potomac,39.06392,-77.2948,2014,46620,Class B,64.45,50.53,24
Washington County,Maryland,Spring,Report 29330: Recollection of possible vocalizations and brush crashing while camping in the Lil-Aaron Straus Wilderness Area,39.64819,-78.32549,1989,29330,Class B,60.07,56.02,24
Washtenaw County,Michigan,Summer,Report 24620: Man recalls family experiencing possible intimidation near Ann Arbor,42.2375,-83.67,1974,24620,Class B,77.74,66.34,26
Schoolcraft County,Michigan,Spring,Report 24238: Man recalls multi-witness sighting in teen years near Manistique,45.964,-86.1437,1962,24238,Class A,NA,NA,26
Sanilac County,Michigan,Summer,"Report 815: Witness observes strange ""monkey-like"" animal from bedroom window.",43.26806,-82.53083,1987,815,Class A,91.38,82.05,26
Roscommon County,Michigan,Fall,Report 37448: Hunter recalls a possible encounter during deer season near St. Helen,44.377,-84.4995,1968,37448,Class B,NA,NA,26
Presque Isle County,Michigan,Spring,Report 29409: Woman remembers childhood sighting near Rogers City,45.40985,-83.85985,1967,29409,Class A,NA,NA,26
Ottawa County,Michigan,Summer,Report 7275: Mother and son find footprints in woods near Nunica.,43.103,-86.075,1994,7275,Class B,78.06,70.045,26
Otsego County,Michigan,Summer,Report 30753: Witness recalls a childhood face to face daylight sighting near his home and night vocalizations outside Gaylord,45,-85,2011,30753,Class A,51.7,45.45,26
Osceola County,Michigan,Fall,Report 31592: Hunter recalls incidents near Pecks Lake,43.857,-85.30701,1989,31592,Class B,NA,NA,26
Ontonagon County,Michigan,Summer,Report 5137: Scientist hears nocturnal vocalizations near Ontanagon.,46.87111,-89.31389,2002,5137,Class B,NA,NA,26
Oceana County,Michigan,Unknown,Report 55573: Long term possible Sasquatch interactions on a farm near New Era beginning in the mid 1970's,43.55,-86.325,1976,55573,Class B,78.39,68.395,26
Oceana County,Michigan,Summer,Report 37652: Possible nighttime activity while camping and a chimp-like animal seen lifeless in the road near New Era,43.5345,-86.29,2000,37652,Class B,71.58,68.28,26
Oceana County,Michigan,Summer,Report 31603: Motorists describe a nighttime sighting near the Manistee National Forest.,43.674,-86.4565,2011,31603,Class A,78.99,71.305,26
Ogemaw County,Michigan,Summer,Report 34990: Family members describe possible nighttime vocalizations heard over the years near Prescott,44.2055,-83.95399,2001,34990,Class B,NA,NA,26
Ogemaw County,Michigan,Fall,Report 10904: Deer hunter watches large bipedal animal in Rifle River State Park.,44.36434,-84.05358,2003,10904,Class A,44.88,44.12,26
Ogemaw County,Michigan,Spring,Report 27037: Vacationer hears possible howls at night near Henderson Lake,44.34035,-84.00156,2006,27037,Class B,58.98,54.63,26
Ogemaw County,Michigan,Fall,Report 21792: Night Time Sighting by Motorist - South of Lupton,44.41835,-84.40335,2008,21792,Class A,48.14,37.315,26
Ogemaw County,Michigan,Summer,Report 55541: Motorist has a possible daylight sighting just north of South Branch,44.48875,-83.88607,2016,55541,Class B,88.06,78.895,26
